epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,61.2088,1.84559,2.82811,1.89135,0.01239,0.57619,0.20223,0.07898,2.35105,4.08657,2.30544,0.000401,0.000401,0.000401
42,62.4461,1.83863,2.78531,1.84338,0.01239,0.57619,0.20223,0.07898,2.35105,4.08657,2.30544,0.000408488,0.000408488,0.000408488
43,63.7545,1.97179,2.63966,1.86724,0.01392,0.63869,0.20967,0.07898,2.30424,4.10359,2.28585,0.000415853,0.000415853,0.000415853
44,65.0464,1.62131,2.6714,1.60861,0.01392,0.63869,0.20967,0.07898,2.30424,4.10359,2.28585,0.000423093,0.000423093,0.000423093
45,66.3672,1.73097,2.65741,1.68905,0.01166,0.73869,0.28719,0.10747,2.21567,3.99275,2.22503,0.00043021,0.00043021,0.00043021
46,67.623,1.54726,2.30102,1.6112,0.01166,0.73869,0.28719,0.10747,2.21567,3.99275,2.22503,0.000437203,0.000437203,0.000437203
47,68.9156,1.92172,2.65601,1.99558,0.01048,0.8006,0.3101,0.1093,2.22284,3.95317,2.19876,0.000444073,0.000444073,0.000444073
48,70.1858,1.75055,2.4881,1.73536,0.01048,0.8006,0.3101,0.1093,2.22284,3.95317,2.19876,0.000450818,0.000450818,0.000450818
49,71.4836,1.89169,2.44239,1.81891,0.0089,0.68869,0.20228,0.06284,2.3197,4.04735,2.41581,0.00045744,0.00045744,0.00045744
50,72.744,1.89734,2.47499,1.7716,0.0089,0.68869,0.20228,0.06284,2.3197,4.04735,2.41581,0.000463938,0.000463938,0.000463938
51,74.0775,1.87134,2.64426,1.81991,0.00882,0.67619,0.14016,0.05101,2.35897,4.06175,2.50122,0.000470312,0.000470312,0.000470312
52,75.3206,1.81347,2.36202,1.7813,0.00882,0.67619,0.14016,0.05101,2.35897,4.06175,2.50122,0.000476563,0.000476563,0.000476563
53,76.5461,1.60512,2.34853,1.65625,0.00882,0.67619,0.14016,0.05101,2.35897,4.06175,2.50122,0.00048269,0.00048269,0.00048269
54,77.9526,1.57027,2.36672,1.56805,0.01023,0.73929,0.1777,0.06321,2.28124,3.95818,2.40882,0.000488693,0.000488693,0.000488693
55,79.3558,1.71929,2.3027,1.67879,0.01023,0.73929,0.1777,0.06321,2.28124,3.95818,2.40882,0.000494573,0.000494573,0.000494573
56,80.7227,1.55325,2.18458,1.55756,0.01023,0.73929,0.1777,0.06321,2.28124,3.95818,2.40882,0.000500328,0.000500328,0.000500328
57,82.1053,1.76731,2.35356,1.67671,0.01049,0.77619,0.24197,0.08537,2.26473,3.92884,2.38807,0.00050596,0.00050596,0.00050596
58,83.4274,1.61002,2.24218,1.61627,0.01049,0.77619,0.24197,0.08537,2.26473,3.92884,2.38807,0.000511468,0.000511468,0.000511468
59,84.6697,1.56581,2.32155,1.52681,0.01049,0.77619,0.24197,0.08537,2.26473,3.92884,2.38807,0.000516852,0.000516852,0.000516852
60,85.9762,1.56554,2.35507,1.49765,0.01058,0.73869,0.1756,0.06409,2.34706,3.98534,2.37919,0.000522113,0.000522113,0.000522113
61,87.2586,1.58172,2.24064,1.55317,0.01058,0.73869,0.1756,0.06409,2.34706,3.98534,2.37919,0.00052725,0.00052725,0.00052725
62,88.52,1.83966,2.36368,1.73433,0.01058,0.73869,0.1756,0.06409,2.34706,3.98534,2.37919,0.000532263,0.000532263,0.000532263
63,89.7905,1.84176,2.41594,1.72348,0.00984,0.66429,0.11278,0.03671,2.34861,4.06943,2.35821,0.000537153,0.000537153,0.000537153
64,91.0624,1.62037,2.15783,1.60638,0.00984,0.66429,0.11278,0.03671,2.34861,4.06943,2.35821,0.000541918,0.000541918,0.000541918
65,92.2987,1.61653,2.24861,1.63415,0.00984,0.66429,0.11278,0.03671,2.34861,4.06943,2.35821,0.00054656,0.00054656,0.00054656
66,93.6025,1.43792,2.12023,1.49682,0.01221,0.7631,0.1783,0.06644,2.35257,4.03632,2.30862,0.000551078,0.000551078,0.000551078
67,94.8628,1.55926,2.1868,1.55799,0.01221,0.7631,0.1783,0.06644,2.35257,4.03632,2.30862,0.000555472,0.000555472,0.000555472
68,96.1191,1.32574,2.17127,1.36133,0.01221,0.7631,0.1783,0.06644,2.35257,4.03632,2.30862,0.000559743,0.000559743,0.000559743
69,97.4326,1.45596,2.10411,1.43719,0.01194,0.75119,0.18201,0.07559,2.38487,4.00001,2.32385,0.00056389,0.00056389,0.00056389
70,98.6722,1.44812,2.17678,1.33655,0.01194,0.75119,0.18201,0.07559,2.38487,4.00001,2.32385,0.000567913,0.000567913,0.000567913
71,99.9299,1.55898,2.16645,1.48564,0.01194,0.75119,0.18201,0.07559,2.38487,4.00001,2.32385,0.000571813,0.000571813,0.000571813
72,101.25,1.64173,2.26305,1.68367,0.01075,0.70119,0.20085,0.07314,2.40511,3.93726,2.38519,0.000575588,0.000575588,0.000575588
73,102.574,1.30797,2.06394,1.32851,0.01075,0.70119,0.20085,0.07314,2.40511,3.93726,2.38519,0.00057924,0.00057924,0.00057924
74,103.947,1.58466,2.06326,1.5609,0.01075,0.70119,0.20085,0.07314,2.40511,3.93726,2.38519,0.000582768,0.000582768,0.000582768
75,105.515,1.52771,2.1796,1.41813,0.74253,0.10564,0.30859,0.10441,2.32829,3.68209,2.38491,0.000586173,0.000586173,0.000586173
76,106.858,1.34243,1.95775,1.36804,0.74253,0.10564,0.30859,0.10441,2.32829,3.68209,2.38491,0.000589453,0.000589453,0.000589453
77,108.134,1.42736,2.18144,1.3927,0.74253,0.10564,0.30859,0.10441,2.32829,3.68209,2.38491,0.00059261,0.00059261,0.00059261
78,109.431,1.48479,2.05786,1.49858,0.66946,0.16209,0.36033,0.12399,2.34842,3.47284,2.40299,0.000595643,0.000595643,0.000595643
79,110.671,1.44836,2.09544,1.43024,0.66946,0.16209,0.36033,0.12399,2.34842,3.47284,2.40299,0.000598553,0.000598553,0.000598553
80,111.928,1.30263,1.93285,1.31715,0.66946,0.16209,0.36033,0.12399,2.34842,3.47284,2.40299,0.000601338,0.000601338,0.000601338
81,113.264,1.4166,1.93924,1.4099,0.57797,0.35706,0.4776,0.177,2.2499,3.17182,2.28915,0.000604,0.000604,0.000604
82,114.517,1.41427,1.91656,1.43415,0.57797,0.35706,0.4776,0.177,2.2499,3.17182,2.28915,0.000606538,0.000606538,0.000606538
83,115.828,1.26005,1.92525,1.30568,0.57797,0.35706,0.4776,0.177,2.2499,3.17182,2.28915,0.000608953,0.000608953,0.000608953
84,117.209,1.30834,1.87464,1.28288,0.5278,0.44192,0.51027,0.2014,2.14851,2.90489,2.20174,0.000611243,0.000611243,0.000611243
85,118.538,1.4381,1.90375,1.45114,0.5278,0.44192,0.51027,0.2014,2.14851,2.90489,2.20174,0.00061341,0.00061341,0.00061341
86,119.854,1.24687,1.83371,1.2746,0.5278,0.44192,0.51027,0.2014,2.14851,2.90489,2.20174,0.000615453,0.000615453,0.000615453
87,121.17,1.3062,1.8273,1.36827,0.5278,0.44192,0.51027,0.2014,2.14851,2.90489,2.20174,0.000617372,0.000617372,0.000617372
88,122.784,1.42063,2.07179,1.42385,0.46151,0.44047,0.46793,0.17204,2.20717,3.03153,2.21283,0.000619168,0.000619168,0.000619168
89,124.241,1.34064,1.97901,1.29581,0.46151,0.44047,0.46793,0.17204,2.20717,3.03153,2.21283,0.00062084,0.00062084,0.00062084
90,126.054,1.37714,1.89401,1.3586,0.46151,0.44047,0.46793,0.17204,2.20717,3.03153,2.21283,0.000622388,0.000622388,0.000622388
91,127.442,1.31444,1.9472,1.32079,0.46151,0.44047,0.46793,0.17204,2.20717,3.03153,2.21283,0.000623813,0.000623813,0.000623813
92,128.741,1.37032,1.95201,1.44088,0.52288,0.45254,0.46092,0.16857,2.22646,2.97168,2.17917,0.000625113,0.000625113,0.000625113
93,130.03,1.31143,1.82128,1.35511,0.52288,0.45254,0.46092,0.16857,2.22646,2.97168,2.17917,0.00062629,0.00062629,0.00062629
94,131.255,1.43479,2.00069,1.35418,0.52288,0.45254,0.46092,0.16857,2.22646,2.97168,2.17917,0.000627343,0.000627343,0.000627343
95,132.594,1.50466,2.03938,1.46225,0.52288,0.45254,0.46092,0.16857,2.22646,2.97168,2.17917,0.000628273,0.000628273,0.000628273
96,133.973,1.34796,1.86648,1.34987,0.66203,0.45742,0.49671,0.19345,2.16068,2.74393,2.06721,0.000629078,0.000629078,0.000629078
97,135.273,1.35188,1.68959,1.31024,0.66203,0.45742,0.49671,0.19345,2.16068,2.74393,2.06721,0.00062976,0.00062976,0.00062976
98,136.522,1.19455,1.93682,1.28923,0.66203,0.45742,0.49671,0.19345,2.16068,2.74393,2.06721,0.000630318,0.000630318,0.000630318
99,137.782,1.2396,1.86466,1.23398,0.66203,0.45742,0.49671,0.19345,2.16068,2.74393,2.06721,0.000630753,0.000630753,0.000630753
100,139.08,1.39034,1.95018,1.36804,0.48344,0.44827,0.47763,0.20583,2.0804,2.57969,2.02282,0.000631063,0.000631063,0.000631063
101,140.454,1.26257,1.78219,1.27054,0.48344,0.44827,0.47763,0.20583,2.0804,2.57969,2.02282,0.00063125,0.00063125,0.00063125
102,142.072,1.16435,1.74909,1.10182,0.48344,0.44827,0.47763,0.20583,2.0804,2.57969,2.02282,0.000625062,0.000625062,0.000625062
