epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5847,3.04046,3.56676,3.65364,2.1832,0.0376,0.06566,0.0287,0.00852,0.10476,0.06566,0.03038,0.00525,2.95663,3.38394,4.25301,2.36538,0.000652174,0.000652174,0.000652174
2,38.6802,2.70028,2.66415,2.90495,2.01764,0.02179,0.11364,0.00867,0.00274,0.00593,0.07071,0.00377,0.00113,3.28458,3.24414,39.516,6.31407,0.00129844,0.00129844,0.00129844
3,55.3345,2.79927,3.07846,2.76764,2.0682,0.02287,0.11616,0.00901,0.00222,0.00554,0.33586,0.00496,0.00162,4.24536,18.3283,221.752,20.5811,0.00192408,0.00192408,0.00192408
4,72.0858,2.80139,2.82448,2.66664,2.01568,0.06308,0.09596,0.02547,0.00596,0.11337,0.13636,0.03907,0.01034,3.07047,2.30703,5.44126,3.09152,0.00190719,0.00190719,0.00190719
5,88.5465,2.71338,2.49185,2.50136,1.98158,0.10772,0.11676,0.05145,0.01425,0.10188,0.11364,0.05077,0.01432,2.63148,1.99799,2.90864,2.24466,0.00187625,0.00187625,0.00187625
6,105.145,2.59299,2.49299,2.50711,1.89127,0.09149,0.12374,0.03834,0.01032,0.15181,0.18434,0.07579,0.01958,2.90128,2.08912,3.32572,2.69938,0.00184531,0.00184531,0.00184531
7,121.853,2.53144,2.27598,2.35108,1.87006,0.06951,0.18182,0.03749,0.01205,0.14068,0.10354,0.04888,0.01608,2.70068,2.33417,3.22878,2.35174,0.00181438,0.00181438,0.00181438
8,138.177,2.51495,2.24693,2.26812,1.84387,0.23031,0.14899,0.09292,0.03103,0.25596,0.2096,0.13843,0.0438,2.5632,1.98314,2.73402,2.16025,0.00178344,0.00178344,0.00178344
9,154.524,2.46462,2.08736,2.25284,1.77814,0.18668,0.19192,0.09045,0.03126,0.25917,0.23485,0.15436,0.04623,2.61725,1.98866,2.39016,2.12518,0.0017525,0.0017525,0.0017525
10,171.001,2.42258,2.08119,2.14095,1.73643,0.20628,0.17424,0.10416,0.03161,0.2601,0.2197,0.14637,0.05299,2.54361,2.00992,2.96545,2.03678,0.00172156,0.00172156,0.00172156
