epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,604.113,1.07133,0.94466,1.07296,0.94922,0.95882,0.98175,0.76648,0.80562,0.7534,1.34277,0.0015842,0.0015842,0.0015842
44,617.997,0.98947,0.84901,1.06311,0.89957,0.91881,0.94604,0.7246,0.87764,0.80673,1.41569,0.0015743,0.0015743,0.0015743
45,630.826,0.97301,0.84822,1.06319,0.84106,0.89744,0.9227,0.70101,0.85267,0.83479,1.39469,0.0015644,0.0015644,0.0015644
46,645.275,0.89196,0.80724,1.0224,0.92978,0.84615,0.94638,0.74933,0.81637,0.74894,1.38353,0.0015545,0.0015545,0.0015545
47,658.781,0.92048,0.79353,1.0266,0.88247,0.92308,0.95963,0.74593,0.85601,0.77387,1.37677,0.0015446,0.0015446,0.0015446
48,672.352,1.00307,0.84078,1.04794,0.89424,0.92308,0.95364,0.77671,0.74868,0.74085,1.30299,0.0015347,0.0015347,0.0015347
49,686.743,0.96908,0.81012,1.01874,0.86308,0.96988,0.97324,0.79339,0.76934,0.72423,1.30523,0.0015248,0.0015248,0.0015248
50,700.794,0.96674,0.8079,1.05396,0.94952,0.96484,0.98914,0.82455,0.72474,0.70048,1.25694,0.0015149,0.0015149,0.0015149
51,713.924,0.92157,0.76515,1.0266,0.97049,1,0.99375,0.78343,0.78293,0.61756,1.32386,0.001505,0.001505,0.001505
52,729.122,0.96599,0.78681,1.03674,0.96926,1,0.99125,0.78545,0.76942,0.63997,1.2821,0.0014951,0.0014951,0.0014951
53,742.672,0.93674,0.77775,1.02307,0.99361,1,0.995,0.80237,0.71703,0.64171,1.23046,0.0014852,0.0014852,0.0014852
54,757.02,0.89747,0.74275,1.0012,0.97486,0.99455,0.99375,0.829,0.67626,0.62959,1.21884,0.0014753,0.0014753,0.0014753
55,770.554,0.9277,0.73839,1.00929,1,0.98025,0.995,0.81174,0.71461,0.59793,1.2355,0.0014654,0.0014654,0.0014654
