epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,55.2743,2.27293,2.55438,3.28533,1.26021,0.01,0.08571,0.01738,0.00348,0.00667,0.05714,0.01123,0.00136,2.34784,2.88768,3.48338,1.32595,0.000589312,0.000589312,0.000589312
34,56.3183,2.11372,2.33521,3.02855,1.24152,0.01,0.08571,0.01738,0.00348,0.00667,0.05714,0.01123,0.00136,2.34784,2.88768,3.48338,1.32595,0.000606095,0.000606095,0.000606095
35,58.0509,1.97535,2.61972,3.12205,1.23154,0.01,0.08571,0.01602,0.00303,0.01,0.08571,0.00844,0.00108,2.31981,3.18114,3.45587,1.328,0.000622778,0.000622778,0.000622778
36,59.1497,1.70137,1.92878,3.07973,1.08994,0.01,0.08571,0.01602,0.00303,0.01,0.08571,0.00844,0.00108,2.31981,3.18114,3.45587,1.328,0.000639362,0.000639362,0.000639362
37,60.9939,2.34936,2.93238,3.17726,1.34093,0.01333,0.11429,0.01232,0.00381,0.01333,0.11429,0.01239,0.0026,2.23002,3.08269,3.51486,1.27466,0.000655848,0.000655848,0.000655848
38,62.8817,2.06285,2.25889,3.05399,1.26371,0.01333,0.11429,0.01232,0.00381,0.01333,0.11429,0.01239,0.0026,2.23002,3.08269,3.51486,1.27466,0.000672234,0.000672234,0.000672234
39,64.1535,1.92217,2.21893,3.11083,1.16536,0.01333,0.11429,0.01117,0.00277,0.01,0.08571,0.00737,0.00193,2.29704,3.18513,3.53595,1.33155,0.000688522,0.000688522,0.000688522
40,65.6086,1.59393,1.78229,2.9171,1.10977,0.01333,0.11429,0.01117,0.00277,0.01,0.08571,0.00737,0.00193,2.29704,3.18513,3.53595,1.33155,0.000704711,0.000704711,0.000704711
41,67.5593,1.9621,2.64011,2.94882,1.21098,0.01333,0.11429,0.01161,0.00336,0.01,0.08571,0.00701,0.00303,2.28211,2.95761,3.5032,1.36821,0.0007208,0.0007208,0.0007208
42,68.738,2.20867,2.8522,3.16738,1.27357,0.01333,0.11429,0.01161,0.00336,0.01,0.08571,0.00701,0.00303,2.28211,2.95761,3.5032,1.36821,0.000736791,0.000736791,0.000736791
43,69.9553,1.53261,1.90263,2.91173,1.06075,0.01333,0.11429,0.02109,0.00394,0.00667,0.05714,0.00701,0.00284,2.09864,2.68849,3.43426,1.345,0.000752682,0.000752682,0.000752682
44,71.3629,1.63785,2.27849,2.8356,1.10345,0.01333,0.11429,0.02109,0.00394,0.00667,0.05714,0.00701,0.00284,2.09864,2.68849,3.43426,1.345,0.000768474,0.000768474,0.000768474
45,73.0598,1.73856,1.99002,2.84836,1.105,0.01667,0.14286,0.04732,0.00576,0.01,0.08571,0.00863,0.00253,1.98203,2.7958,3.40148,1.34103,0.000784168,0.000784168,0.000784168
46,74.4897,2.03875,2.52215,3.06801,1.25598,0.01667,0.14286,0.04732,0.00576,0.01,0.08571,0.00863,0.00253,1.98203,2.7958,3.40148,1.34103,0.000799763,0.000799763,0.000799763
47,75.8581,1.68711,2.10068,2.81719,1.09628,0.01667,0.14286,0.02478,0.00384,0.01333,0.11429,0.02536,0.00383,1.85309,2.86209,3.40389,1.27893,0.000815258,0.000815258,0.000815258
48,77.5025,1.59339,2.09106,2.60487,1.11277,0.01667,0.14286,0.02478,0.00384,0.01333,0.11429,0.02536,0.00383,1.85309,2.86209,3.40389,1.27893,0.000830655,0.000830655,0.000830655
49,79.8073,2.11107,2.69348,2.77364,1.25648,0.01667,0.14286,0.02511,0.00473,0.01,0.08571,0.01858,0.00362,1.83282,2.87963,3.35702,1.31057,0.000845952,0.000845952,0.000845952
50,82.1504,1.92749,2.39276,2.73278,1.22918,0.01667,0.14286,0.02511,0.00473,0.01,0.08571,0.01858,0.00362,1.83282,2.87963,3.35702,1.31057,0.00086115,0.00086115,0.00086115
51,84.0406,2.16509,2.28937,2.82805,1.20296,0.01667,0.14286,0.04528,0.01001,0.01333,0.11429,0.0419,0.00602,1.86854,3.0785,3.40146,1.36451,0.00087625,0.00087625,0.00087625
52,85.4731,1.45131,1.99461,2.72685,1.04374,0.01667,0.14286,0.04528,0.01001,0.01333,0.11429,0.0419,0.00602,1.86854,3.0785,3.40146,1.36451,0.000891251,0.000891251,0.000891251
53,86.8354,2.10438,3.41705,3.02435,1.2001,0.01667,0.14286,0.04528,0.01001,0.01333,0.11429,0.0419,0.00602,1.86854,3.0785,3.40146,1.36451,0.000906152,0.000906152,0.000906152
54,87.9521,1.89578,2.3574,2.89817,1.14015,0.01333,0.11429,0.01724,0.0057,0.01333,0.11429,0.01724,0.00421,2.07189,3.24628,3.38203,1.4589,0.000920954,0.000920954,0.000920954
55,89.2773,1.82543,2.02044,2.81277,1.14377,0.01333,0.11429,0.01724,0.0057,0.01333,0.11429,0.01724,0.00421,2.07189,3.24628,3.38203,1.4589,0.000935658,0.000935658,0.000935658
56,90.7507,2.06744,2.54355,2.8865,1.19795,0.01333,0.11429,0.01724,0.0057,0.01333,0.11429,0.01724,0.00421,2.07189,3.24628,3.38203,1.4589,0.000950263,0.000950263,0.000950263
57,92.3569,2.13335,2.80448,2.95177,1.24026,0.01,0.08571,0.01221,0.00282,0.01333,0.11429,0.01026,0.00144,2.03501,3.67603,3.42592,1.44672,0.000964768,0.000964768,0.000964768
58,93.8117,1.67464,2.22903,2.73512,1.12106,0.01,0.08571,0.01221,0.00282,0.01333,0.11429,0.01026,0.00144,2.03501,3.67603,3.42592,1.44672,0.000979175,0.000979175,0.000979175
59,94.9086,2.23745,2.19834,3.09867,1.18208,0.01,0.08571,0.01221,0.00282,0.01333,0.11429,0.01026,0.00144,2.03501,3.67603,3.42592,1.44672,0.000993482,0.000993482,0.000993482
